"E";313
"N";168
"S";121
"I";108
"R";104
"A";100
"D";84
"U";80
"H";77
"T";70
"L";56
"M";50
"C";45
"O";43
"G";42
"F";28
"B";26
"Z";24
"K";23
"W";23
"V";17
"J";9
"P";4
"X";2
"Q";0
"Y";0
