A; 1562
B; 485
C; 840
D; 1435
E; 4911
F; 394
G; 772
H; 1258
I; 2120
J; 116
K; 434
L; 1143
M; 644
N; 2716
O; 882
P; 313
Q; 3
R; 1983
S; 1966
T; 1676
U; 1151
V; 243
W; 400
X; 16
Y; 58
Z; 319
