A; 32
B; 49
C; 624
D; 53
E; 119
F; 153
G; 198
H; 57
I; 110
J; 250
K; 23
L; 1
M; 190
N; 214
O; 7
P; 0
Q; 97
R; 1
S; 227
T; 233
U; 71
V; 75
W; 406
X; 101
Y; 287
Z; 65
