A; 100
B; 26
C; 45
D; 84
E; 313
F; 28
G; 42
H; 77
I; 108
J; 9
K; 23
L; 56
M; 50
N; 168
O; 43
P; 4
Q; 0
R; 104
S; 121
T; 70
U; 80
V; 17
W; 23
X; 2
Y; 0
Z; 24
